Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-06-08,142.8,136,142.8,136,0.14,-3.35
2022-06-07,141.5,140.72,142.88,139.1,0.61,-0.54
2022-06-06,143.88,141.48,145,139.04,0.18,-1.61
2022-06-03,143.9,143.8,143.9,138.2,1.39,1.41
2022-06-02,138.6,141.8,141.9,138.2,0.49,3.47
2022-06-01,144.1,137.04,149.98,132,1.56,-4.5
2022-05-31,145.7,143.5,146,143.5,0.51,-1.58
2022-05-30,142.96,145.8,145.98,138.02,0.33,1.99
2022-05-27,142.8,142.96,145.8,142.1,0.14,-0.72
2022-05-26,139,144,145.9,137,0.21,2.86
2022-05-25,148,140,151.18,137.04,0.51,-5.41
2022-05-24,148.66,148,150.96,136.5,3.22,0.61
2022-05-23,155.4,147.1,157,146.1,0.58,-3.78
2022-05-20,159,152.88,160,152.88,2.67,-2.62
2022-05-19,160,157,160,152.4,2.61,-2.48
2022-05-18,163.98,161,163.98,161,0.24,0
2022-05-17,162,161,166.7,157.92,5.78,-3.54
2022-05-16,177.4,166.9,177.4,166.9,0.36,-6.08
2022-05-13,162,177.7,177.7,160.06,0.2,11.02
2022-05-12,163,160.06,163,156,0.45,-3.58
2022-05-11,157,166,166,157,0.21,5.06
2022-05-10,166,158,166,158,0.27,-4.82
2022-05-09,172,166,174.98,165.7,0.24,-3.87
2022-05-06,181.74,172.68,181.9,172,2.96,-5.63
2022-05-05,178,182.98,183.98,178,2.58,3.85
2022-05-04,174.5,176.2,179.6,172.74,0.49,1.44
2022-05-02,173,173.7,175.6,168.2,0.29,0.4
2022-04-29,167.04,173,175,167.04,0.24,3.57
2022-04-28,167.02,167.04,176,167,0.28,-1.16
2022-04-27,169.14,169,172.6,165.1,1.23,0
2022-04-26,174,169,174,169,0.25,-2.87
2022-04-25,174.4,174,174.5,167.6,0.89,-2.25
2022-04-22,178,178,178,178,0,0
2022-04-21,180,178,182,175.2,0.26,-1.11
2022-04-20,173.46,180,180,171,0.67,5.26
2022-04-19,184.2,171,184.2,171,0.76,-7.17
2022-04-18,184.2,184.2,184.2,184.2,0,0
2022-04-15,184.2,184.2,184.2,184.2,0,0
2022-04-14,181.2,184.2,187.8,179.12,0.43,1.88
2022-04-13,181.6,180.8,183,176,0.34,-0.55
2022-04-12,181.6,181.8,181.8,177.8,0.15,1.56
2022-04-11,183,179,183,175.8,0.54,-2.4
2022-04-08,173,183.4,183.4,173,0.36,6.38
2022-04-07,180.6,172.4,181,172.4,0.39,-3.15
2022-04-06,183,178,184.8,178,1.06,-3.05
2022-04-05,186.4,183.6,190.4,183.6,0.31,-1.18
2022-04-04,183.6,185.8,189,183.4,0.4,1.2
2022-04-01,187,183.6,190,183,0.81,-1.82
2022-03-31,191.8,187,192,187,1.17,-2.71
2022-03-30,189,192.2,193,187,2.89,1.69
2022-03-29,190,189,194,184.4,4.29,-1.25
2022-03-28,208,191.4,208,191.4,0.8,-4.3
2022-03-25,198.6,200,203.5,194,1.89,0.7
2022-03-24,205.5,198.6,207.5,198,4.27,-3.12
2022-03-23,184,205,213,184,6.33,13.13
2022-03-22,177.6,181.2,184.8,177.6,0.09,2.26
2022-03-21,181,177.2,185,177.2,0.36,-1.01
2022-03-18,180,179,183.8,176.8,2.08,1.02
2022-03-17,180.6,177.2,185,177.2,0.55,-1.56
2022-03-16,171.6,180,183.8,171.6,0.68,6.13
2022-03-15,172,169.6,174.6,169.4,0.88,-3.2
2022-03-14,189.8,175.2,189.8,175.2,1.97,-7.2
2022-03-11,178.8,188.8,188.8,172.4,2.96,9.13
2022-03-10,176,173,181,168,1.49,2.37
2022-03-09,149,169,173.8,149,3,17.2
2022-03-08,149.8,144.2,156.8,144.2,0.87,-3.35
2022-03-07,160,149.2,160,148,0.74,-6.75
2022-03-04,165,160,165,158,0.64,-4.76
2022-03-03,158,168,168,152.2,0.59,10.53
2022-03-02,150,152,156.4,145,0.82,2.01
2022-03-01,159,149,167,149,1.22,-5.7
2022-02-28,148,158,165.8,145,1.22,10.03
2022-02-25,139.2,143.6,149.8,138,1.71,9.28
2022-02-24,150,131.4,150,130,2.73,-16.94
2022-02-23,168.2,158.2,170,158.2,1.09,-6.94
2022-02-22,157.2,170,170,156,0.68,3.03
2022-02-21,173.4,165,174,165,0.83,-4.84
2022-02-18,167,173.4,175,167,0.54,3.83
2022-02-17,177.2,167,177.2,167,0.41,-4.02
2022-02-16,176,174,185,174,0.57,-4.29
2022-02-15,170,181.8,181.8,170,0.5,6.82
2022-02-14,176,170.2,179,170,0.77,-4.92
2022-02-11,181.8,179,181.8,176,0.24,-2.4
2022-02-10,180,183.4,184,176.8,0.26,1.89
2022-02-09,183.6,180,183.6,178,0.15,1.69
2022-02-08,182.4,177,184.6,176.2,0.38,-3.8
2022-02-07,180,184,184,174.6,0.28,3.37
2022-02-04,186.2,178,186.2,175.2,0.25,-2.2
2022-02-03,186.8,182,186.8,178.2,0.59,-2.67
2022-02-02,186.2,187,187.8,179,0.56,4.7
2022-02-01,182,178.6,187.8,176.8,0.58,0.56
2022-01-31,172.6,177.6,178.8,172.6,0.61,4.47
2022-01-28,180,170,182,170,0.76,-5.76
2022-01-27,178,180.4,183,178,0.37,0.45
2022-01-26,180,179.6,191.6,177.8,0.77,-0.22
2022-01-25,188,180,193,180,0.68,-4.26
2022-01-24,191.8,188,194.8,180.2,2.83,-4.18
2022-01-21,199,196.2,202,191,0.62,-1.8
2022-01-20,206.5,199.8,206.5,199.4,0.72,-1.33
2022-01-19,207,202.5,207,199,2.05,-1.7
2022-01-18,202,206,209,202,0.54,2.23
2022-01-17,206.5,201.5,206.5,201,0.36,-2.42
2022-01-14,207,206.5,209,205,0.13,-0.24
2022-01-13,210,207,211,204.5,0.2,-2.82
2022-01-12,203.5,213,213,200,0.33,5.45
2022-01-11,198,202,203.5,196,0.74,2.54
2022-01-10,208,197,208,197,0.67,-2.72
2022-01-07,209,202.5,209,201.5,0.53,-3.57
2022-01-05,208,210,217.5,208,0.41,1.94
2022-01-04,219,206,219.5,206,0.6,-5.5
2022-01-03,226,218,226,215,0.67,0
