Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-12-30,92.5,91.35,92.5,90.61,0.15,-0.05
2022-12-29,88.8,91.4,91.8,88.8,0.42,2.94
2022-12-28,90.6,88.79,90.7,88.1,0.94,-1.56
2022-12-27,93,90.2,94.48,90.2,0.48,-4.04
2022-12-23,94.5,94,94.5,92.5,0.29,-0.16
2022-12-22,97,94.15,97,93.55,0.1,-1.93
2022-12-21,97,96,97,94.81,4.49,-0.31
2022-12-20,98.85,96.3,98.85,94.74,0.15,-2.58
2022-12-19,93.8,98.85,99,93.8,0.17,-0.55
2022-12-16,94,99.4,99.4,90.2,0.72,5.74
2022-12-15,98,94,98,88.2,0.93,-4.07
2022-12-14,99.5,97.99,99.9,97,0.16,-1.42
2022-12-13,98,99.4,99.5,97,0.22,1.83
2022-12-12,97,97.61,98,97,0.12,0.37
2022-12-09,97,97.25,99.1,97,0.43,0.58
2022-12-08,99.11,96.69,99.99,93.5,0.8,-2.43
2022-12-07,103.1,99.1,104.76,97.52,1.02,-3.88
2022-12-06,105,103.1,107.62,103.04,0.27,-1.83
2022-12-05,108.02,105.02,108.6,105,0.81,-3.3
2022-12-02,109.6,108.6,112,108.6,0.25,-0.28
2022-12-01,112,108.9,113.8,108.9,0.26,0.09
2022-11-30,110,108.8,112.98,108.8,0.17,-1.09
2022-11-29,112.6,110,114.8,109.7,0.18,-0.54
2022-11-28,109.02,110.6,114,108.8,0.17,0.55
2022-11-25,110,110,110,110,0,0
2022-11-24,114.38,110,114.38,108.4,0.29,-2.43
2022-11-23,115.96,112.74,115.96,112.7,0.2,-2.79
2022-11-22,117,115.98,118.1,113.1,0.39,-3.22
2022-11-21,119,119.84,119.84,117.1,0.12,0.71
2022-11-18,119,119,119.3,116,0.06,-0.58
2022-11-17,116.2,119.7,119.7,113.3,0.18,4.82
2022-11-16,117,114.2,119,113,0.26,-4.82
2022-11-15,120,119.98,120,117.86,0.36,0.57
2022-11-14,111,119.3,119.88,111,0.56,7.48
2022-11-10,115,111,115,106,0.99,-4.39
2022-11-09,119.8,116.1,119.8,116,0.05,-1.19
2022-11-08,119,117.5,122.24,117,0.12,-0.42
2022-11-07,115,118,118.5,115,0.2,0.85
2022-11-04,117,117,117,113.52,0.42,-0.1
2022-11-03,122,117.12,123,117.1,0.22,-4.24
2022-11-02,123,122.3,124.98,116.52,0.66,0.74
2022-10-31,113.8,121.4,121.4,111.4,0.29,8.98
2022-10-28,104.9,111.4,112,103.96,0.18,8.16
2022-10-27,105,103,105,103,0.2,-1.83
2022-10-26,108.9,104.92,110,104.9,0.32,-1.94
2022-10-25,105,107,107,103,0.46,3.88
2022-10-24,110,103,110,101.52,2.04,-6.45
2022-10-21,110,110.1,113.48,109.84,1.53,-2.91
2022-10-20,117.56,113.4,119.9,112,0.44,-3.9
2022-10-19,122,118,123.98,118,0.44,-3.28
2022-10-18,126.5,122,127,120.7,0.77,-3.34
2022-10-17,129.9,126.22,130,125.02,0.22,-2.16
2022-10-14,130.48,129,132,129,0.18,-0.28
2022-10-13,129.6,129.36,131.5,128,0.19,-0.26
2022-10-12,130.84,129.7,133,129.7,0.08,-0.87
2022-10-11,134,130.84,134,129.6,0.29,-2.36
2022-10-10,134.08,134,141,131.7,0.03,-2.2
2022-10-07,134.08,137.02,141.4,132.7,0.23,0.75
2022-10-06,136.2,136,139.5,132.6,0.29,-0.1
2022-10-05,142.48,136.14,142.48,136.14,0.2,-4.46
2022-10-04,135,142.5,142.5,135,0.12,5.95
2022-10-03,136.3,134.5,137.48,134.2,0.06,-1.29
2022-09-30,135,136.26,139.98,133.5,0.1,2.14
2022-09-29,140.2,133.4,144.42,133.4,0.29,-7.15
2022-09-28,143.68,143.68,143.68,139.3,0.16,0
2022-09-27,136.44,143.68,143.78,136.44,0.23,5.65
2022-09-26,139.4,136,146,136,0.28,-2.86
2022-09-23,147,140,147,140,0.41,-3.83
2022-09-22,144,145.58,145.9,143.26,0.07,1.1
2022-09-21,147.98,144,147.98,142,0.14,-2.7
2022-09-20,143.08,148,151,143,0.62,5.71
2022-09-19,144.68,140,144.68,138.5,0.4,-3.23
2022-09-16,143.5,144.68,145.62,140,0.52,0.77
2022-09-15,141.5,143.58,143.6,138.9,0.26,2.51
2022-09-14,135.62,140.06,148.2,135.62,0.23,2.19
2022-09-13,152.2,137.06,152.2,137.06,0.92,-7.42
2022-09-12,152.86,148.04,152.86,148.02,0.06,-1.31
2022-09-09,150.1,150,154.7,144,0.63,-5.54
2022-09-08,154.76,158.8,163.8,154.76,0.42,2.6
2022-09-07,155.98,154.78,155.98,150.1,0.13,-0.14
2022-09-06,154.5,155,155,149.74,0.3,1.29
2022-09-05,152,153.02,156,152,0.14,0.99
2022-09-02,152,151.52,156,150.64,0.14,-0.32
2022-09-01,158.6,152,158.6,152,0.19,-4.22
2022-08-31,157,158.7,158.8,152.5,0.3,2.16
2022-08-30,159,155.34,159.8,155.26,0.4,-1.43
2022-08-29,159.4,157.6,160.1,155.38,0.23,-1.5
2022-08-26,162.9,160,163.8,160,0.05,-0.63
2022-08-25,164.98,161.02,166.6,160.02,0.05,0.64
2022-08-24,170,160,170,160,0.19,-6.16
2022-08-23,165,170.5,173,165,0.05,-1.45
2022-08-22,158.04,173,173,156.4,0.28,9.29
2022-08-19,160,158.3,163.26,158.3,0.08,-1.59
2022-08-18,165,160.86,166.4,157.7,0.36,-2.15
2022-08-17,170.5,164.4,170.5,164.4,0.17,-3.58
2022-08-16,167.9,170.5,173.78,167.9,0.1,0.29
2022-08-12,178,170,178,168.56,0.2,-4.92
2022-08-11,172,178.8,178.8,166.5,1.88,2.52
2022-08-10,166.8,174.4,174.4,164.1,0.28,4.42
2022-08-09,169,167.02,169,166.3,0.1,0.31
2022-08-08,171.66,166.5,172.7,166.16,0.24,-4.31
2022-08-05,175,174,175,167.54,0.41,-0.54
2022-08-04,175,174.94,175,170.18,0.29,1.41
2022-08-03,168,172.5,176,166.5,1.16,3.98
2022-08-02,162,165.9,169,157.14,0.72,3.69
2022-08-01,147.8,160,167.3,145.7,1.05,8.25
2022-07-29,137.92,147.8,147.8,137.52,0.28,7.15
2022-07-28,138.9,137.94,139.6,137.42,0.06,0.69
2022-07-27,130.78,137,137,130.78,0.15,4.58
2022-07-26,138.9,131,138.9,131,0.12,-2.38
2022-07-25,139.2,134.2,144,134.2,0.31,-2.43
2022-07-22,137.04,137.54,139.94,137.02,0.08,-1.05
2022-07-21,139.94,139,139.94,136.9,0.03,-0.7
2022-07-20,136,139.98,139.98,136,0.2,2.93
2022-07-19,135.8,136,136,133,0.07,0
2022-07-18,137.12,136,137.12,134.92,0.12,-0.79
2022-07-15,124.8,137.08,137.08,124.8,0.13,9.66
2022-07-14,130,125,131.44,125,0.12,-4.29
2022-07-13,132,130.6,132,129,0.02,-1.06
2022-07-12,132,132,132,130,0.09,0.17
2022-07-11,130,131.78,133,130,0.11,1.37
2022-07-08,136.8,130,137,127,0.25,-4.41
2022-07-07,139,136,139,135,0.22,1.51
2022-07-06,140,133.98,142,133.98,0.21,-2.2
2022-07-05,148.5,137,148.5,137,0.18,-7.74
2022-07-04,148,148.5,150.5,145,0.07,0.2
2022-07-01,150.5,148.2,151.1,146.84,0.23,2.92
2022-06-30,147.8,144,147.8,143.4,0.17,-2.58
2022-06-29,141,147.82,147.82,137.02,0.77,3.75
2022-06-28,140.5,142.48,142.48,137.12,0.25,1.41
2022-06-27,142,140.5,142,134.3,0.38,-1.75
2022-06-24,137,143,143,134.02,0.2,4.79
2022-06-23,125.02,136.46,136.46,125.02,0.6,9.17
2022-06-22,124,125,128.8,120.62,0.24,0.81
2022-06-21,125,124,126.98,122,0.25,0
2022-06-20,127,124,128.9,120.28,0.69,-2.44
2022-06-17,136,127.1,138,127.1,0.36,-8.23
2022-06-15,135,138.5,138.66,135,0.08,0.04
2022-06-14,135,138.44,138.98,132.3,0.52,4.09
2022-06-13,136.9,133,138,127.4,0.98,-4.32
2022-06-10,136.1,139,141.1,136,0.17,0
2022-06-09,136,139,141.6,135.76,0.3,2.21
